Food,Categlory,ID,Carbs,Calories,Protien,Fat,Measure
EGG,"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",1134,2.38,615,48.17,43.95,"1 cup,  sifted"
EGG,"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",1135,4.17,351,76.92,0.04,.5 lb
EGG,"EGG,WHITE,DRIED,PDR,GLUCOSE RED",1136,4.47,376,82.4,0.04,"1 cup,  sifted"
EGG,"EGG,YOLK,DRIED",1137,3.6,666,34.25,55.8,"1 cup,  sifted"
EGG,"EGG,DUCK,WHOLE,FRESH,RAW",1138,1.45,185,12.81,13.77,1 egg
EGG,"EGG,GOOSE,WHOLE,FRESH,RAW",1139,1.35,185,13.87,13.27,1 egg
EGG,"EGG,QUAIL,WHOLE,FRESH,RAW",1140,0.41,158,13.05,11.09,1 egg
EGG,"EGG,TURKEY,WHL,FRSH,RAW",1141,1.15,171,13.68,11.88,1 egg
EGG SUBSTITUTE,"EGG SUBSTITUTE,FROZEN",1142,3.2,160,11.29,11.11,1 cup
EGG SUBSTITUTE,"EGG SUBSTITUTE,LIQUID",1143,0.64,84,12,3.31,1 cup
EGG SUBSTITUTE,"EGG SUBSTITUTE,POWDER",1144,21.8,444,55.5,13,.35 oz
BUTTER,"BUTTER,WITHOUT SALT",1145,0.06,717,0.85,81.11,1 cup
CHEESE,"CHEESE,PARMESAN,SHREDDED",1146,3.41,415,37.86,27.34,1 tbsp
CHEESE,"CHEESE,PAST PROCESS,AMERICAN,WO/DI NA PO4",1147,1.6,375,22.15,31.25,1 oz
CHEESE,"CHEESE,PAST PROCESS,SWISS,WO/DI NA PO4",1148,2.1,334,24.73,25.01,1 oz
CHEESE FD,"CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4",1149,7.29,328,19.61,24.6,1 oz
CHEESE SPRD,"CHEESE SPRD,PAST PROCESS,AMERICAN,W/DI NA PO4",1150,8.73,290,16.41,21.23,1 oz
MILK,"MILK,NONFAT,FLUID,WO/ VIT A (FAT FREE OR SKIM)",1151,4.85,35,3.41,0.18,1 cup
MILK,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",1152,5.49,56,3.95,1.98,1 cup
MILK,"MILK,CND,EVAP,W/ VIT A",1153,10.04,134,6.81,7.56,1 fl oz
MILK,"MILK,DRY,NONFAT,REG,W/ VIT A",1154,51.98,362,36.16,0.77,1 cup
MILK,"MILK,DRY,NONFAT,INST,WO/ VIT A",1155,52.19,358,35.1,0.72,1 cup
CHEESE,"CHEESE,GOAT,HARD TYPE",1156,2.17,452,30.52,35.59,1 oz
CHEESE,"CHEESE,GOAT,SEMISOFT TYPE",1157,2.54,364,21.58,29.84,1 oz
CHEESE,"CHEESE,GOAT,SOFT TYPE",1159,0.89,268,18.52,21.08,1 oz
EGG,"EGG,YOLK,RAW,FRZ,SALTED",1160,1.6,274,14,23,.5 lb
